ts,symbol,combo,event,direction,st_line,regime,bars_since_flip,rsi,adx14,low,rsi_ok,adx_level_ok,high
2024-10-04,AAPL,B,pullback_gate_fail,LONG,,,11.0,52.8412753653166,11.198048450380087,,True,False,
2024-10-07,AAPL,B,pullback_gate_fail,LONG,,,12.0,44.97640222022573,10.762929660192338,,False,False,
2024-10-08,AAPL,B,pullback_gate_fail,LONG,,,13.0,51.35585611543448,10.287266763203794,,True,False,
2024-10-09,AAPL,B,pullback_gate_fail,LONG,,,14.0,56.360641689886535,10.136518149366252,,True,False,
2024-10-10,AAPL,B,pullback_gate_fail,LONG,,,15.0,55.566224233196074,9.996537293659962,,True,False,
2024-10-11,AAPL,B,window_expired,LONG,,,16.0,,,,,,
2024-11-01,AAPL,B,flip_armed,SHORT,233.11010429280455,corrective,,,,,,,
2024-11-04,AAPL,B,pullback_gate_fail,SHORT,,,1.0,38.42426062592025,15.199439013707796,,True,False,
2024-11-05,AAPL,B,pullback_gate_fail,SHORT,,,2.0,41.31760249984447,15.528401146889317,,True,False,
2024-11-06,AAPL,B,pullback_gate_fail,SHORT,,,3.0,40.03873359752228,15.246745079891694,,True,False,
2024-11-07,AAPL,B,pullback_gate_fail,SHORT,,,4.0,49.1998227505742,14.503063541601549,,True,False,
2024-11-08,AAPL,B,pullback_gate_fail,SHORT,,,5.0,48.791340174440066,13.616509720519176,,True,False,
2024-11-11,AAPL,B,pullback_gate_fail,SHORT,,,6.0,44.12174457280142,13.875714345051172,,True,False,
2024-11-12,AAPL,B,pullback_gate_fail,SHORT,,,7.0,44.12174457280142,14.116404353545168,,True,False,
2024-11-13,AAPL,B,pullback_gate_fail,SHORT,,,8.0,46.04237441105725,14.020068194407422,,True,False,
2024-11-14,AAPL,B,pullback_gate_fail,SHORT,,,9.0,51.98574914950368,13.307993943219286,,False,False,
2024-11-15,AAPL,B,pullback_gate_fail,SHORT,,,10.0,46.095809663277436,12.82774182728349,,True,False,
2024-11-18,AAPL,B,pullback_gate_fail,SHORT,,,11.0,51.738337531334096,12.21258292369905,,False,False,
2024-11-19,AAPL,B,pullback_gate_fail,SHORT,,,12.0,51.822931852163315,11.750725748415162,,False,False,
2024-11-20,AAPL,B,pullback_gate_fail,SHORT,,,13.0,53.21819983882149,11.076189221556332,,False,False,
2024-11-21,AAPL,B,pullback_gate_fail,SHORT,,,14.0,52.14763538659569,10.511131103921153,,False,False,
2024-11-22,AAPL,B,pullback_gate_fail,SHORT,,,15.0,54.55227421371291,10.162551177946446,,False,False,
2024-11-25,AAPL,B,reflip_disarm,SHORT,,,16.0,,,,,,
2024-11-25,AAPL,B,flip_armed,LONG,221.99662236340723,corrective,,,,,,,
2024-11-26,AAPL,B,pullback_gate_fail,LONG,,,1.0,63.04188798456215,11.499442723757232,,True,False,
2024-11-27,AAPL,B,pullback_gate_fail,LONG,,,2.0,63.05673467597174,12.389563011528498,,True,False,
2024-11-29,AAPL,B,pullback_gate_fail,LONG,,,3.0,66.53169280505003,13.72651405119303,,True,False,
2024-12-02,AAPL,B,pullback_gate_fail,LONG,,,4.0,69.42850756443423,15.562481408387136,,True,False,
2024-12-03,AAPL,B,pullback_gate_fail,LONG,,,5.0,72.82974079888038,17.616909246907223,,True,False,
2024-12-04,AAPL,B,pullback_gate_fail,LONG,,,6.0,73.1392920707905,19.7436853152943,,True,False,
2024-12-05,AAPL,B,pullback_entry,LONG,234.92007484088833,,7.0,73.28621994493895,21.776699245940613,242.195,,,
2025-01-02,AAPL,B,flip_armed,SHORT,257.02922373741535,corrective,,,,,,,
2025-01-03,AAPL,B,pullback_entry,SHORT,254.03105136367378,,1.0,45.584054466688805,36.57746043322854,241.89,,,
2025-03-11,AAPL,B,flip_armed,SHORT,240.05186825265042,corrective,,,,,,,
2025-03-12,AAPL,B,pullback_gate_fail,SHORT,,,1.0,29.98946619822695,18.768896994526482,,True,False,
2025-03-13,AAPL,B,pullback_entry,SHORT,231.17848828464685,,2.0,26.00054920893973,20.63918628370181,208.445,,,
2025-04-24,AAPL,B,flip_armed,LONG,181.5388937779165,corrective,,,,,,,
2025-04-25,AAPL,B,no_pullback,LONG,185.27825440012487,,1.0,,,206.44,,,209.43
2025-04-28,AAPL,B,no_pullback,LONG,188.08892896011238,,2.0,,,207.48,,,211.48
2025-04-29,AAPL,B,no_pullback,LONG,190.06803606410114,,3.0,,,208.39,,,212.11
2025-04-30,AAPL,B,no_pullback,LONG,190.22373245769103,,4.0,,,206.68,,,213.51
2025-05-01,AAPL,B,no_pullback,LONG,192.47960921192194,,5.0,,,208.98,,,214.515
2025-05-02,AAPL,B,pullback_gate_fail,LONG,,,6.0,48.00094128683929,17.40310131096605,,False,False,
2025-05-05,AAPL,B,pullback_gate_fail,LONG,,,7.0,43.27034869331741,17.406825923196244,,False,False,
2025-05-06,AAPL,B,pullback_gate_fail,LONG,,,8.0,42.97687196988565,17.506909665126525,,False,False,
2025-05-07,AAPL,B,pullback_gate_fail,LONG,,,9.0,41.3783183278238,18.047533410589363,,False,False,
2025-05-08,AAPL,B,pullback_gate_fail,LONG,,,10.0,42.63456268853914,18.43332583067301,,False,False,
2025-05-09,AAPL,B,pullback_gate_fail,LONG,,,11.0,43.759432656718516,18.703137859411413,,False,False,
2025-05-12,AAPL,B,pullback_gate_fail,LONG,,,12.0,55.00591767516884,17.50465392987356,,True,False,
2025-05-13,AAPL,B,pullback_gate_fail,LONG,,,13.0,56.593001229989554,16.67862198079222,,True,False,
2025-05-14,AAPL,B,pullback_gate_fail,LONG,,,14.0,55.99256735927837,15.985187284842706,,True,False,
2025-05-15,AAPL,B,pullback_gate_fail,LONG,,,15.0,54.96015122711394,15.16995132749913,,True,False,
2025-05-16,AAPL,B,window_expired,LONG,,,16.0,,,,,,
2025-05-23,AAPL,B,flip_armed,SHORT,210.09312224058462,corrective,,,,,,,
2025-05-27,AAPL,B,pullback_gate_fail,SHORT,,,1.0,44.77419833303389,15.73273787275205,,True,False,
2025-05-28,AAPL,B,pullback_gate_fail,SHORT,,,2.0,45.0012605038483,15.741580552905717,,True,False,
2025-05-29,AAPL,B,pullback_gate_fail,SHORT,,,3.0,44.4522215243237,15.94231644723991,,True,False,
2025-05-30,AAPL,B,pullback_gate_fail,SHORT,,,4.0,45.399723653448206,16.378142360086674,,True,False,
2025-06-02,AAPL,B,pullback_gate_fail,SHORT,,,5.0,46.85706723095757,16.752869427574186,,True,False,
2025-06-03,AAPL,B,pullback_gate_fail,SHORT,,,6.0,49.15759505943471,16.704166682730918,,True,False,
2025-06-04,AAPL,B,pullback_gate_fail,SHORT,,,7.0,48.47076291237993,16.099978201352084,,True,False,
2025-06-05,AAPL,B,pullback_gate_fail,SHORT,,,8.0,45.52522111925474,15.910580904731734,,True,False,
2025-06-06,AAPL,B,pullback_gate_fail,SHORT,,,9.0,50.470277998246466,15.515751572559873,,False,False,
2025-06-09,AAPL,B,pullback_gate_fail,SHORT,,,10.0,46.924858792544875,15.533200404087635,,True,False,
2025-06-10,AAPL,B,pullback_gate_fail,SHORT,,,11.0,48.84090166804975,15.549402890506272,,True,False,
2025-06-11,AAPL,B,pullback_gate_fail,SHORT,,,12.0,43.62448107209502,15.982701698009778,,True,False,
2025-06-12,AAPL,B,pullback_gate_fail,SHORT,,,13.0,44.08269180452184,16.580818080977487,,True,False,
2025-06-13,AAPL,B,pullback_gate_fail,SHORT,,,14.0,40.56435228456159,17.42507826511996,,True,False,
2025-06-16,AAPL,B,pullback_gate_fail,SHORT,,,15.0,44.17410438500011,18.209034150395116,,True,False,
2025-06-17,AAPL,B,window_expired,SHORT,,,16.0,,,,,,
2025-07-01,AAPL,B,flip_armed,LONG,197.42946705143743,corrective,,,,,,,
2025-07-02,AAPL,B,pullback_gate_fail,LONG,,,1.0,66.30231524916742,16.826194146423695,,True,False,
2025-07-03,AAPL,B,pullback_gate_fail,LONG,,,2.0,67.35215515157857,18.036522239681887,,True,False,
2025-07-07,AAPL,B,pullback_gate_fail,LONG,,,3.0,60.16131123593492,18.129487588731998,,True,False,
2025-07-08,AAPL,B,pullback_gate_fail,LONG,,,4.0,60.36783329983814,18.096598259793836,,True,False,
2025-07-09,AAPL,B,pullback_gate_fail,LONG,,,5.0,61.792152496116884,17.660075657472877,,True,False,
2025-07-10,AAPL,B,pullback_gate_fail,LONG,,,6.0,63.472240353691745,17.784302799272595,,True,False,
2025-07-11,AAPL,B,pullback_gate_fail,LONG,,,7.0,60.491243777979534,17.770044452315684,,True,False,
2025-07-14,AAPL,B,pullback_gate_fail,LONG,,,8.0,55.191767647466804,16.981223376174746,,True,False,
2025-07-15,AAPL,B,pullback_gate_fail,LONG,,,9.0,55.834796324091734,16.535442983513118,,True,False,
2025-07-16,AAPL,B,pullback_gate_fail,LONG,,,10.0,57.808347281695035,16.256377605022873,,True,False,
2025-07-17,AAPL,B,pullback_gate_fail,LONG,,,11.0,57.734909985874395,15.997245467853359,,True,False,
2025-07-18,AAPL,B,pullback_gate_fail,LONG,,,12.0,59.63106595880508,15.756622769053097,,True,False,
2025-07-21,AAPL,B,pullback_gate_fail,LONG,,,13.0,62.06864466220023,16.64864495504541,,True,False,
2025-07-22,AAPL,B,pullback_gate_fail,LONG,,,14.0,65.20646210838018,17.4769512706097,,True,False,
2025-07-23,AAPL,B,pullback_gate_fail,LONG,,,15.0,64.60066474687187,18.370643419245578,,True,False,
2025-07-24,AAPL,B,window_expired,LONG,,,16.0,,,,,,
2025-08-01,AAPL,B,flip_armed,SHORT,217.78923390818696,trending,,,,,,,
2025-08-04,AAPL,B,pullback_entry,SHORT,215.54081051736824,,1.0,38.04088206328212,20.071354135132328,201.68,,,
2025-08-07,AAPL,B,flip_armed,LONG,205.54304663283855,trending,,,,,,,
2025-08-08,AAPL,B,pullback_entry,LONG,210.3542419695547,,1.0,73.71176487482713,22.999560100512987,219.3,,,
2025-09-10,AAPL,B,flip_armed,SHORT,241.0907286555943,corrective,,,,,,,
2025-09-11,AAPL,B,pullback_gate_fail,SHORT,,,1.0,52.33380509838435,25.806908012820323,,False,True,
2025-09-12,AAPL,B,pullback_gate_fail,SHORT,,,2.0,57.145163641096886,24.33666273533512,,False,True,
2025-09-15,AAPL,B,pullback_gate_fail,SHORT,,,3.0,60.045945212685666,23.627471882168056,,False,True,
2025-09-16,AAPL,B,pullback_gate_fail,SHORT,,,4.0,61.49351877304834,23.450032913126414,,False,True,
2025-09-17,AAPL,B,pullback_gate_fail,SHORT,,,5.0,62.37744859728014,23.285268156159177,,False,True,
2025-09-18,AAPL,B,pullback_gate_fail,SHORT,,,6.0,60.404210279649334,23.313485449435493,,False,True,
2025-09-19,AAPL,B,reflip_disarm,SHORT,,,7.0,,,,,,
2025-09-19,AAPL,B,flip_armed,LONG,231.0705447095381,trending,,,,,,,
2025-09-22,AAPL,B,pullback_entry,LONG,238.61049023858425,,1.0,75.02806178965056,25.910229999518545,248.16,,,
2025-10-20,AAPL,B,flip_armed,LONG,246.13161913928582,corrective,,,,,,,
2025-10-21,AAPL,B,pullback_entry,LONG,250.34995722535723,,1.0,66.65065624982397,26.562089493589983,262.025,,,
2025-12-17,AAPL,B,flip_armed,SHORT,285.6323674317658,corrective,,,,,,,
2025-12-18,AAPL,B,pullback_entry,SHORT,282.4791306885892,,1.0,45.87033485445007,24.349598341494165,266.97,,,
2026-02-02,AAPL,B,flip_armed,LONG,249.15453974978547,corrective,,,,,,,
2026-02-03,AAPL,B,pullback_entry,LONG,254.59958577480697,,1.0,61.563043308316644,26.310735137858675,267.72,,,
2023-08-29,ADBE,B,flip_armed,LONG,499.9358659938113,corrective,,,,,,,
2023-08-30,ADBE,B,pullback_entry,LONG,508.39277939443014,,1.0,62.797509752043275,23.158696274997148,536.84,,,
2023-10-11,ADBE,B,flip_armed,LONG,510.62690627822764,corrective,,,,,,,
2023-10-12,ADBE,B,pullback_gate_fail,LONG,,,1.0,65.04839840591515,19.422308037755975,,True,False,
2023-10-13,ADBE,B,pullback_entry,LONG,527.7859656504049,,2.0,58.87578078449164,20.407771698278403,546.99,,,
2023-10-25,ADBE,B,flip_armed,SHORT,564.3505061313729,corrective,,,,,,,
2023-10-26,ADBE,B,pullback_entry,SHORT,560.2722055182355,,1.0,39.39978937786549,20.307112036846632,511.77,,,
2023-11-02,ADBE,B,flip_armed,LONG,517.250901113537,trending,,,,,,,
2023-11-03,ADBE,B,pullback_gate_fail,LONG,,,1.0,62.16165920931328,18.3715643787734,,True,False,
2023-11-06,ADBE,B,pullback_gate_fail,LONG,,,2.0,62.74634046226765,19.10181407145757,,True,False,
2023-11-07,ADBE,B,pullback_entry,LONG,541.7140094117685,,3.0,68.85627716473188,20.730964739050947,569.02,,,
2023-12-14,ADBE,B,flip_armed,SHORT,626.1314922798449,trending,,,,,,,
2023-12-15,ADBE,B,pullback_entry,SHORT,624.5285930518605,,1.0,43.61961502296347,29.620559207224787,578.76,,,
2024-01-11,ADBE,B,flip_armed,LONG,564.1841188458479,trending,,,,,,,
2024-01-12,ADBE,B,pullback_gate_fail,LONG,,,1.0,53.01594008381737,14.935273247139982,,True,False,
2024-01-16,ADBE,B,pullback_gate_fail,LONG,,,2.0,53.66026558199326,14.063023328633673,,True,False,
2024-01-17,ADBE,B,pullback_gate_fail,LONG,,,3.0,52.6973263309311,13.404671528354758,,True,False,
2024-01-18,ADBE,B,pullback_gate_fail,LONG,,,4.0,51.02895943040026,12.793344856667193,,True,False,
2024-01-19,ADBE,B,pullback_gate_fail,LONG,,,5.0,60.86150962702263,12.890592148419318,,True,False,
2024-01-22,ADBE,B,pullback_gate_fail,LONG,,,6.0,55.59105650870248,13.56351144067919,,True,False,
2024-01-23,ADBE,B,pullback_gate_fail,LONG,,,7.0,51.54597046818009,13.05745076533333,,True,False,
2024-01-24,ADBE,B,pullback_gate_fail,LONG,,,8.0,56.33804416125449,13.477485068038925,,True,False,
2024-01-25,ADBE,B,pullback_gate_fail,LONG,,,9.0,63.16283002300642,14.417790492437803,,True,False,
2024-01-26,ADBE,B,pullback_gate_fail,LONG,,,10.0,57.47925323261291,15.29093124366533,,True,False,
2024-01-29,ADBE,B,pullback_gate_fail,LONG,,,11.0,63.74377766732551,16.830053649418918,,True,False,
2024-01-30,ADBE,B,pullback_gate_fail,LONG,,,12.0,62.31567218536055,18.259238740475823,,True,False,
2024-01-31,ADBE,B,pullback_gate_fail,LONG,,,13.0,57.376787345985214,18.679722751392113,,True,False,
2024-02-01,ADBE,B,pullback_gate_fail,LONG,,,14.0,60.69018162267873,19.230292689960987,,True,False,
2024-02-02,ADBE,B,pullback_entry,LONG,592.4560906807392,,15.0,63.13574353259946,20.262566602333745,618.03,,,
2024-02-15,ADBE,B,flip_armed,SHORT,634.0384538256773,trending,,,,,,,
2024-02-16,ADBE,B,pullback_gate_fail,SHORT,,,1.0,30.44806041364069,19.185179373076217,,True,False,
2024-02-20,ADBE,B,pullback_entry,SHORT,580.2286475987985,,2.0,29.49885558117502,21.58432429260611,528.76,,,
2024-03-12,ADBE,B,flip_armed,LONG,533.3533105618708,trending,,,,,,,
2024-03-13,ADBE,B,pullback_gate_fail,LONG,,,1.0,50.943082490096565,19.874286994468203,,True,False,
2024-03-14,ADBE,B,pullback_gate_fail,LONG,,,2.0,50.084667132971816,18.683114713251648,,True,False,
2024-03-15,ADBE,B,reflip_disarm,LONG,,,3.0,,,,,,
2024-03-15,ADBE,B,flip_armed,SHORT,547.9882866003962,trending,,,,,,,
2024-03-18,ADBE,B,pullback_entry,SHORT,547.9882866003962,,1.0,37.16331379349865,21.326440401593082,495.93,,,
2024-06-14,ADBE,B,flip_armed,LONG,484.77238792898044,corrective,,,,,,,
2024-06-17,ADBE,B,pullback_entry,LONG,484.77238792898044,,1.0,68.06922422302767,25.10716102993134,505.65,,,
2024-07-24,ADBE,B,flip_armed,SHORT,566.1348883183317,corrective,,,,,,,
2024-07-25,ADBE,B,pullback_entry,SHORT,564.1531494864985,,1.0,44.58495392382532,29.42264915451019,527.59,,,
2024-08-15,ADBE,B,flip_armed,LONG,517.5275556901015,trending,,,,,,,
2024-08-16,ADBE,B,pullback_gate_fail,LONG,,,1.0,58.31559069396507,16.802712929050692,,True,False,
2024-08-19,ADBE,B,pullback_gate_fail,LONG,,,2.0,62.191065506443735,17.191294970003295,,True,False,
2024-08-20,ADBE,B,pullback_gate_fail,LONG,,,3.0,61.56571454197335,17.751791644801145,,True,False,
2024-08-21,ADBE,B,pullback_gate_fail,LONG,,,4.0,63.04396615257339,18.24200494471259,,True,False,
2024-08-22,ADBE,B,pullback_gate_fail,LONG,,,5.0,57.60008272630182,19.049842978046986,,True,False,
2024-08-23,ADBE,B,pullback_gate_fail,LONG,,,6.0,58.08611495508966,19.462194086303686,,True,False,
2024-08-26,ADBE,B,pullback_gate_fail,LONG,,,7.0,58.68038660592639,19.845091543970625,,True,False,
2024-08-27,ADBE,B,pullback_entry,LONG,534.1686167882757,,8.0,62.6703070502438,20.843858035854506,555.33,,,
2024-11-06,ADBE,B,flip_armed,LONG,476.0495980487073,corrective,,,,,,,
2024-11-07,ADBE,B,pullback_entry,LONG,477.82688824383655,,1.0,52.25006080641079,30.72709656260666,495.645,,,
2024-12-12,ADBE,B,flip_armed,SHORT,528.5419410876084,corrective,,,,,,,
2024-12-13,ADBE,B,pullback_entry,SHORT,511.7734969788476,,1.0,32.84624006870334,26.860615456187354,456.94,,,
2025-01-21,ADBE,B,flip_armed,LONG,409.1618163865103,corrective,,,,,,,
2025-01-22,ADBE,B,pullback_gate_fail,LONG,,,1.0,45.07343195196944,39.24670992532376,,False,True,
2025-01-23,ADBE,B,pullback_gate_fail,LONG,,,2.0,45.06174264371453,37.58690617828294,,False,True,
2025-01-24,ADBE,B,pullback_gate_fail,LONG,,,3.0,43.843370715480525,35.6183193888082,,False,True,
2025-01-27,ADBE,B,pullback_gate_fail,LONG,,,4.0,46.41506907093055,33.38735450969864,,False,True,
2025-01-28,ADBE,B,pullback_gate_fail,LONG,,,5.0,49.60512503863097,31.26636249035595,,False,True,
2025-01-29,ADBE,B,pullback_gate_fail,LONG,,,6.0,48.736763141682644,29.296869900966307,,False,True,
2025-01-30,ADBE,B,pullback_entry,LONG,420.00722962028703,,7.0,52.05480091699314,27.437143458994935,439.46,,,
2025-03-11,ADBE,B,flip_armed,SHORT,462.5784655007563,corrective,,,,,,,
2025-03-12,ADBE,B,pullback_gate_fail,SHORT,,,1.0,45.466057121920684,16.928058174722416,,True,False,
2025-03-13,ADBE,B,pullback_entry,SHORT,428.6574320556127,,2.0,23.748706941490425,20.30758806256423,374.6,,,
2025-05-02,ADBE,B,flip_armed,LONG,355.409510223934,corrective,,,,,,,
2025-05-05,ADBE,B,pullback_entry,LONG,358.48730920154065,,1.0,56.77183730445354,22.58965167781045,380.68,,,
2025-06-13,ADBE,B,flip_armed,SHORT,414.1164444037005,corrective,,,,,,,
2025-06-16,ADBE,B,pullback_entry,SHORT,414.1164444037005,,1.0,47.677445540170254,26.045642823737193,391.115,,,
2025-08-15,ADBE,B,flip_armed,LONG,332.56038355131284,trending,,,,,,,
2025-08-18,ADBE,B,pullback_gate_fail,LONG,,,1.0,49.99893367952731,32.73265300225532,,False,True,
2025-08-19,ADBE,B,pullback_entry,LONG,341.67211067656336,,2.0,52.90185705078013,30.519246273800327,358.215,,,
2025-09-04,ADBE,B,flip_armed,SHORT,359.72521554423184,corrective,,,,,,,
2025-09-05,ADBE,B,pullback_entry,SHORT,359.72521554423184,,1.0,45.52803428087118,24.68425826600591,345.165,,,
2025-09-17,ADBE,B,flip_armed,LONG,331.91215225858076,trending,,,,,,,
2025-09-18,ADBE,B,pullback_gate_fail,LONG,,,1.0,60.117513884239244,17.854330534372185,,True,False,
2025-09-19,ADBE,B,pullback_gate_fail,LONG,,,2.0,58.649186996623065,17.51521519256361,,True,False,
