ts,symbol,combo,event,direction,st_line,regime,bars_since_flip,low,high,rsi_ok,adx_slope_ok,rsi,adx_slope
2025-12-22,AAPL,B,flip_armed,SHORT,2262.1089110888306,corrective,,,,,,,
2025-12-23,AAPL,B,no_pullback,SHORT,2240.1342481933493,,1.0,1960.6582271008185,2042.8948393555543,,,,
2025-12-24,AAPL,B,no_pullback,SHORT,2238.5245374108063,,2.0,1984.5549422574281,2037.1518111704038,,,,
2025-12-25,AAPL,B,no_pullback,SHORT,2238.5245374108063,,3.0,1999.6694825651823,2072.877162080807,,,,
2025-12-26,AAPL,B,no_pullback,SHORT,2238.5245374108063,,4.0,1994.3044685942673,2058.472791636797,,,,
2025-12-29,AAPL,B,no_pullback,SHORT,2238.5245374108063,,5.0,1979.8327802644803,2077.3077567753585,,,,
2025-12-30,AAPL,B,no_pullback,SHORT,2189.169150352714,,6.0,1935.891605262332,2010.0708610414918,,,,
2025-12-31,AAPL,B,no_pullback,SHORT,2189.169150352714,,7.0,1937.2297230048855,2028.7168375617991,,,,
2026-01-01,AAPL,B,no_pullback,SHORT,2189.169150352714,,8.0,1954.532284745599,2034.0333331080333,,,,
2026-01-02,AAPL,B,no_pullback,SHORT,2146.1247788544197,,9.0,1914.232219924099,1964.7358075395832,,,,
2026-01-05,AAPL,B,no_pullback,SHORT,2098.9056635740553,,10.0,1847.3396023535997,1934.7920991671126,,,,
2026-01-06,AAPL,B,window_expired,SHORT,,,11.0,,,,,,
2026-02-03,AAPL,B,flip_armed,LONG,1642.7230950971546,trending,,,,,,,
2026-02-04,AAPL,B,no_pullback,LONG,1642.7230950971546,,1.0,1743.4829237288477,1868.7834279942363,,,,
2026-02-05,AAPL,B,pullback_gate_fail,LONG,,,2.0,,,False,False,46.71319882648844,-2.616352426227966
2026-02-06,AAPL,B,no_pullback,LONG,1642.7230950971546,,3.0,1699.2909061529087,1763.9159006344776,,,,
2026-02-09,AAPL,B,no_pullback,LONG,1642.7230950971546,,4.0,1701.9847125846852,1793.1075344840258,,,,
2026-02-10,AAPL,B,no_pullback,LONG,1642.7230950971546,,5.0,1789.9822568610218,1915.6038824589075,,,,
2026-02-11,AAPL,B,no_pullback,LONG,1671.5745522761767,,6.0,1844.8289893144845,1924.9953567497548,,,,
2026-02-12,AAPL,B,no_pullback,LONG,1671.5745522761767,,7.0,1792.8383000353235,1884.1038550937515,,,,
2026-02-13,AAPL,B,no_pullback,LONG,1671.5745522761767,,8.0,1773.0919868328938,1864.5292300643687,,,,
2026-02-16,AAPL,B,no_pullback,LONG,1671.5745522761767,,9.0,1816.340549785826,1928.3332837821088,,,,
2026-02-17,AAPL,B,no_pullback,LONG,1725.394672386736,,10.0,1897.6379503344872,2009.938307707121,,,,
2026-02-18,AAPL,B,window_expired,LONG,,,11.0,,,,,,
2024-10-02,ADBE,B,flip_armed,SHORT,398.84401576651715,trending,,,,,,,
2024-10-03,ADBE,B,no_pullback,SHORT,389.1771782131262,,1.0,339.59981061160374,351.6909646319779,,,,
2024-10-04,ADBE,B,no_pullback,SHORT,383.84544745097776,,2.0,331.1257060984885,349.1805458588718,,,,
2024-10-07,ADBE,B,no_pullback,SHORT,383.84544745097776,,3.0,331.8205178828815,350.91410011302685,,,,
2024-10-08,ADBE,B,no_pullback,SHORT,383.84544745097776,,4.0,347.74968111880355,358.8663116627346,,,,
2024-10-09,ADBE,B,no_pullback,SHORT,383.84544745097776,,5.0,343.21668589013956,354.83606881672057,,,,
2024-10-10,ADBE,B,no_pullback,SHORT,383.84544745097776,,6.0,354.35878056987593,368.91980644805597,,,,
2024-10-11,ADBE,B,no_pullback,SHORT,383.84544745097776,,7.0,352.74352897625266,372.18086686162,,,,
2024-10-14,ADBE,B,pullback_gate_fail,SHORT,,,8.0,,,False,False,51.59087657654776,-2.4682631644356796
2024-10-15,ADBE,B,pullback_gate_fail,SHORT,,,9.0,,,False,False,56.05400451853942,-0.7330613661979584
2024-10-16,ADBE,B,pullback_gate_fail,SHORT,,,10.0,,,False,True,55.408810681803395,0.1463776841905613
2024-10-17,ADBE,B,window_expired,SHORT,,,11.0,,,,,,
2024-10-24,ADBE,B,flip_armed,LONG,350.4746969010409,trending,,,,,,,
2024-10-25,ADBE,B,no_pullback,LONG,363.6401328525669,,1.0,392.0511178442098,418.82094081890807,,,,
2024-10-28,ADBE,B,no_pullback,LONG,376.1897760839914,,2.0,410.15699326333277,424.75335187033835,,,,
2024-10-29,ADBE,B,no_pullback,LONG,376.1897760839914,,3.0,400.3080693886789,425.14760854778945,,,,
2024-10-30,ADBE,B,no_pullback,LONG,376.1897760839914,,4.0,397.9710836606478,414.3126737638299,,,,
2024-10-31,ADBE,B,no_pullback,LONG,376.1897760839914,,5.0,405.1801505442082,426.1422718351762,,,,
2024-11-01,ADBE,B,no_pullback,LONG,380.4137498600709,,6.0,417.081995907849,428.916539438753,,,,
2024-11-04,ADBE,B,no_pullback,LONG,380.4137498600709,,7.0,395.4636810283341,422.639952769403,,,,
2024-11-05,ADBE,B,pullback_gate_fail,LONG,,,8.0,,,True,False,55.52525995791286,-4.472100377451966
2024-11-06,ADBE,B,no_pullback,LONG,380.4137498600709,,9.0,399.16460193780085,422.9611185058682,,,,
2024-11-07,ADBE,B,no_pullback,LONG,380.4137498600709,,10.0,418.0587822086029,430.37630145305536,,,,
2024-11-08,ADBE,B,window_expired,LONG,,,11.0,,,,,,
2024-11-26,ADBE,B,flip_armed,SHORT,510.56847221958134,trending,,,,,,,
2024-11-27,ADBE,B,no_pullback,SHORT,510.56847221958134,,1.0,450.3696009588513,476.44671774053853,,,,
2024-11-28,ADBE,B,pullback_gate_fail,SHORT,,,2.0,,,False,False,62.58363677069456,-1.0033999484707365
2024-11-29,ADBE,B,pullback_gate_fail,SHORT,,,3.0,,,False,False,60.16744384748822,-0.8600570986892038
2024-12-02,ADBE,B,no_pullback,SHORT,510.56847221958134,,4.0,457.77934601298256,481.6804037208621,,,,
2024-12-03,ADBE,B,no_pullback,SHORT,510.56847221958134,,5.0,458.2957777701858,469.8693614559284,,,,
2024-12-04,ADBE,B,no_pullback,SHORT,510.56847221958134,,6.0,459.2534820160278,481.5170249342783,,,,
2024-12-05,ADBE,B,no_pullback,SHORT,510.56847221958134,,7.0,463.98234498354617,481.79455695999525,,,,
2024-12-06,ADBE,B,no_pullback,SHORT,510.56847221958134,,8.0,446.4620872946393,473.59652934549285,,,,
2024-12-09,ADBE,B,no_pullback,SHORT,493.0068754490479,,9.0,430.5969828160234,448.03802752414094,,,,
2024-12-10,ADBE,B,no_pullback,SHORT,484.39879441973255,,10.0,423.1580363719804,440.38513610089103,,,,
2024-12-11,ADBE,B,window_expired,SHORT,,,11.0,,,,,,
2025-02-07,ADBE,B,flip_armed,LONG,301.1521425787693,trending,,,,,,,
2025-02-10,ADBE,B,no_pullback,LONG,309.2065410307285,,1.0,342.9976141614163,354.55106214051006,,,,
2025-02-11,ADBE,B,no_pullback,LONG,323.6426957153998,,2.0,351.28767365525977,383.1518315286649,,,,
2025-02-12,ADBE,B,no_pullback,LONG,345.62737537271994,,3.0,379.77171223538267,400.07176954035697,,,,
2025-02-13,ADBE,B,no_pullback,LONG,358.1012620413461,,4.0,392.5189565037548,414.3078945086596,,,,
2025-02-14,ADBE,B,no_pullback,LONG,358.1012620413461,,5.0,393.05205815418554,405.9527680030879,,,,
2025-02-17,ADBE,B,no_pullback,LONG,365.5333072059829,,6.0,396.76042330224766,430.2740074073506,,,,
2025-02-18,ADBE,B,no_pullback,LONG,375.3544016629369,,7.0,415.1837160943909,428.6085277043133,,,,
2025-02-19,ADBE,B,no_pullback,LONG,388.1204385641689,,8.0,424.0250598873909,447.95676744559796,,,,
2025-02-20,ADBE,B,no_pullback,LONG,388.1204385641689,,9.0,421.91385775292775,437.2128475548783,,,,
2025-02-21,ADBE,B,no_pullback,LONG,388.1204385641689,,10.0,400.53430640906555,434.2741958155154,,,,
2025-02-24,ADBE,B,window_expired,LONG,,,11.0,,,,,,
2025-10-15,ADBE,B,flip_armed,SHORT,1417.0056328716635,trending,,,,,,,
2025-10-16,ADBE,B,no_pullback,SHORT,1417.0056328716635,,1.0,1244.227579751327,1304.8913936529682,,,,
2025-10-17,ADBE,B,no_pullback,SHORT,1417.0056328716635,,2.0,1244.3454975799955,1308.8052675964623,,,,
2025-10-20,ADBE,B,no_pullback,SHORT,1417.0056328716635,,3.0,1277.7823465483766,1315.5598804231918,,,,
2025-10-21,ADBE,B,no_pullback,SHORT,1417.0056328716635,,4.0,1261.6010838713053,1327.9954514447086,,,,
2025-10-22,ADBE,B,no_pullback,SHORT,1414.8588865291779,,5.0,1261.1929030762844,1293.2373482746139,,,,
2025-10-23,ADBE,B,no_pullback,SHORT,1407.9018866591332,,6.0,1227.1146048384487,1302.99180090822,,,,
2025-10-24,ADBE,B,no_pullback,SHORT,1407.9018866591332,,7.0,1273.7251341711774,1318.274018801402,,,,
2025-10-27,ADBE,B,no_pullback,SHORT,1407.9018866591332,,8.0,1256.1905257686365,1304.943309479251,,,,
2025-10-28,ADBE,B,no_pullback,SHORT,1404.0712073561958,,9.0,1247.0397805362857,1290.9120616930245,,,,
2025-10-29,ADBE,B,no_pullback,SHORT,1389.6146973142374,,10.0,1240.7484144243372,1277.1224481210222,,,,
2025-10-30,ADBE,B,window_expired,SHORT,,,11.0,,,,,,
2025-11-13,ADBE,B,flip_armed,LONG,1204.9802270608398,corrective,,,,,,,
2025-11-14,ADBE,B,no_pullback,LONG,1252.6543628434267,,1.0,1379.5603615310438,1435.3681044174887,,,,
2025-11-17,ADBE,B,no_pullback,LONG,1304.3581457865434,,2.0,1422.6249608070793,1506.8732331959582,,,,
2025-11-18,ADBE,B,no_pullback,LONG,1333.0612622510316,,3.0,1462.5903781057568,1521.8813390607675,,,,
2025-11-19,ADBE,B,no_pullback,LONG,1333.0612622510316,,4.0,1373.2967155625206,1467.6002911683481,,,,
2025-11-20,ADBE,B,no_pullback,LONG,1333.0612622510316,,5.0,1376.327414050131,1461.8048318904855,,,,
2025-11-21,ADBE,B,pullback_gate_fail,LONG,,,6.0,,,True,False,57.35625729570663,-3.812216911825466
2025-11-24,ADBE,B,pullback_gate_fail,LONG,,,7.0,,,True,False,56.60293380855983,-3.2676144958504025
2025-11-25,ADBE,B,pullback_gate_fail,LONG,,,8.0,,,True,False,54.75217278604508,-3.9713372271860976
2025-11-26,ADBE,B,reflip_disarm,LONG,,,9.0,,,,,,
2025-11-26,ADBE,B,flip_armed,SHORT,1514.0421423326059,corrective,,,,,,,
2025-11-27,ADBE,B,no_pullback,SHORT,1491.8568801860044,,1.0,1291.641745204463,1352.6430633415964,,,,
2025-11-28,ADBE,B,no_pullback,SHORT,1491.8568801860044,,2.0,1289.930843493233,1387.490392113155,,,,
2025-12-01,ADBE,B,no_pullback,SHORT,1467.946603785095,,3.0,1260.2648237685562,1324.6143652186186,,,,
2025-12-02,ADBE,B,no_pullback,SHORT,1467.946603785095,,4.0,1283.722794231056,1327.242731047651,,,,
2025-12-03,ADBE,B,no_pullback,SHORT,1467.946603785095,,5.0,1301.2437310399243,1390.802019084112,,,,
2025-12-04,ADBE,B,no_pullback,SHORT,1467.946603785095,,6.0,1336.1093660114057,1415.0283887372816,,,,
2025-12-05,ADBE,B,pullback_gate_fail,SHORT,,,7.0,,,False,True,61.85141683388735,3.0749728216565657
2025-12-08,ADBE,B,pullback_gate_fail,SHORT,,,8.0,,,False,True,55.98711411474553,2.7682020803614336
2025-12-09,ADBE,B,pullback_gate_fail,SHORT,,,9.0,,,False,False,50.46635359427562,-1.0669988203627554
2025-12-10,ADBE,B,no_pullback,SHORT,1467.946603785095,,10.0,1345.4389944389297,1391.6471381806346,,,,
2025-12-11,ADBE,B,window_expired,SHORT,,,11.0,,,,,,
2025-12-25,ADBE,B,flip_armed,LONG,1307.873996024279,corrective,,,,,,,
2025-12-26,ADBE,B,no_pullback,LONG,1355.499160799318,,1.0,1506.734288408233,1549.811896238275,,,,
2025-12-29,ADBE,B,no_pullback,LONG,1393.1396843455746,,2.0,1532.987630299577,1595.5819999697374,,,,
2025-12-30,ADBE,B,no_pullback,LONG,1421.601323513601,,3.0,1560.873749186434,1619.9065173358,,,,
2025-12-31,ADBE,B,no_pullback,LONG,1476.2966141692912,,4.0,1600.2815491652793,1711.9815242723835,,,,
2026-01-01,ADBE,B,no_pullback,LONG,1505.9092544652276,,5.0,1652.618730065557,1713.1865488425844,,,,
2026-01-02,ADBE,B,no_pullback,LONG,1505.9092544652276,,6.0,1645.807164499656,1703.31851950915,,,,
2026-01-05,ADBE,B,no_pullback,LONG,1533.3556435307999,,7.0,1673.423946525147,1738.3695214201553,,,,
2026-01-06,ADBE,B,no_pullback,LONG,1552.479238564236,,8.0,1694.9422717096422,1746.238064718682,,,,
2026-01-07,ADBE,B,no_pullback,LONG,1552.479238564236,,9.0,1651.0300286268796,1721.4384578645772,,,,
2026-01-08,ADBE,B,no_pullback,LONG,1552.479238564236,,10.0,1671.9497250730503,1732.2751939561351,,,,
2026-01-09,ADBE,B,window_expired,LONG,,,11.0,,,,,,
2024-08-05,AMD,B,flip_armed,SHORT,319.875212625095,corrective,,,,,,,
2024-08-06,AMD,B,no_pullback,SHORT,319.875212625095,,1.0,280.5474897261018,292.7147581853353,,,,
2024-08-07,AMD,B,no_pullback,SHORT,319.875212625095,,2.0,284.140630301075,294.8995468977253,,,,
2024-08-08,AMD,B,no_pullback,SHORT,319.875212625095,,3.0,284.5071822731083,294.6928317948304,,,,
2024-08-09,AMD,B,no_pullback,SHORT,316.08753595071187,,4.0,277.7662811573303,289.3457871354673,,,,
2024-08-12,AMD,B,no_pullback,SHORT,306.26651503612953,,5.0,264.7682517122364,281.0614673122515,,,,
2024-08-13,AMD,B,no_pullback,SHORT,293.48494650148217,,6.0,255.87241621377694,266.0004699687213,,,,
2024-08-14,AMD,B,no_pullback,SHORT,293.48494650148217,,7.0,260.53724544375314,271.83884113732,,,,
2024-08-15,AMD,B,no_pullback,SHORT,293.48494650148217,,8.0,264.5960987256418,271.89094021717864,,,,
2024-08-16,AMD,B,no_pullback,SHORT,289.68194879472213,,9.0,251.75714733862696,265.4465206806166,,,,
2024-08-19,AMD,B,no_pullback,SHORT,289.68194879472213,,10.0,260.6751135676314,271.0476228286801,,,,
2024-08-20,AMD,B,window_expired,SHORT,,,11.0,,,,,,
2024-08-26,AMD,B,flip_armed,LONG,249.87263650309563,corrective,,,,,,,
2024-08-27,AMD,B,no_pullback,LONG,263.7541589207861,,1.0,288.2715665442214,311.42337901885793,,,,
2024-08-28,AMD,B,no_pullback,LONG,279.0666249662974,,2.0,309.2057592251395,318.5851520884839,,,,
2024-08-29,AMD,B,no_pullback,LONG,279.0666249662974,,3.0,303.3537057670828,313.56699222777206,,,,
2024-08-30,AMD,B,no_pullback,LONG,279.0666249662974,,4.0,298.92898896020694,306.7426546175155,,,,
2024-09-02,AMD,B,no_pullback,LONG,279.0666249662974,,5.0,303.57778741131085,315.9135043314867,,,,
2024-09-03,AMD,B,no_pullback,LONG,289.7961350082612,,6.0,314.2434265272945,332.7357439557678,,,,
2024-09-04,AMD,B,no_pullback,LONG,302.1718712099698,,7.0,328.3290992816611,344.99660783466766,,,,
2024-09-05,AMD,B,no_pullback,LONG,314.66134252839197,,8.0,339.00396545745656,365.80101019469873,,,,
2024-09-06,AMD,B,no_pullback,LONG,328.1574182445196,,9.0,359.0888265738199,371.2313163282867,,,,
2024-09-09,AMD,B,no_pullback,LONG,336.5281211049114,,10.0,362.550764891882,391.6697412875212,,,,
2024-09-10,AMD,B,window_expired,LONG,,,11.0,,,,,,
